Date,Adj Close,Close,High,Low,Open,Volume
2024-12-02 00:00:00+00:00,190.5749969482422,190.5749969482422,190.6020050048828,190.29800415039065,190.3370056152344,0
2024-12-02 00:05:00+00:00,190.6820068359375,190.6820068359375,190.7140045166016,190.5269927978516,190.56700134277344,0
2024-12-02 00:10:00+00:00,190.69200134277344,190.69200134277344,190.7749938964844,190.6529998779297,190.68299865722656,0
2024-12-02 00:15:00+00:00,190.59800720214844,190.59800720214844,190.69200134277344,190.5829925537109,190.6790008544922,0
2024-12-02 00:20:00+00:00,190.5760040283203,190.5760040283203,190.6569976806641,190.51199340820312,190.5970001220703,0
2024-12-02 00:25:00+00:00,190.46499633789065,190.46499633789065,190.58200073242188,190.427001953125,190.57200622558597,0
2024-12-02 00:30:00+00:00,190.38699340820312,190.38699340820312,190.4980010986328,190.38499450683597,190.46800231933597,0
2024-12-02 00:35:00+00:00,190.5229949951172,190.5229949951172,190.5290069580078,190.3789978027344,190.38800048828125,0
2024-12-02 00:40:00+00:00,190.4279937744141,190.4279937744141,190.54600524902344,190.42100524902344,190.5249938964844,0
2024-12-02 00:45:00+00:00,190.47900390625,190.47900390625,190.5269927978516,190.4069976806641,190.4250030517578,0
2024-12-02 00:50:00+00:00,190.6100006103516,190.6100006103516,190.6219940185547,190.4620056152344,190.47900390625,0
2024-12-02 00:55:00+00:00,190.6569976806641,190.6569976806641,190.6999969482422,190.54299926757807,190.6100006103516,0
2024-12-02 01:00:00+00:00,190.7899932861328,190.7899932861328,190.80599975585935,190.60899353027344,190.656005859375,0
2024-12-02 01:05:00+00:00,190.73599243164065,190.73599243164065,190.79400634765625,190.68600463867188,190.79299926757807,0
2024-12-02 01:10:00+00:00,190.7050018310547,190.7050018310547,190.7779998779297,190.6840057373047,190.73699951171875,0
2024-12-02 01:15:00+00:00,190.71800231933597,190.71800231933597,190.7830047607422,190.63900756835935,190.70399475097656,0
2024-12-02 01:20:00+00:00,190.83200073242188,190.83200073242188,190.83200073242188,190.6869964599609,190.72300720214844,0
2024-12-02 01:25:00+00:00,190.81700134277344,190.81700134277344,190.8350067138672,190.7330017089844,190.83200073242188,0
2024-12-02 01:30:00+00:00,190.8419952392578,190.8419952392578,190.8560028076172,190.77200317382807,190.82699584960935,0
2024-12-02 01:35:00+00:00,190.83099365234372,190.83099365234372,190.8780059814453,190.7899932861328,190.84100341796875,0
2024-12-02 01:40:00+00:00,190.9739990234375,190.9739990234375,190.9739990234375,190.8280029296875,190.83799743652344,0
2024-12-02 01:45:00+00:00,190.9600067138672,190.9600067138672,191.03500366210935,190.94400024414065,190.9720001220703,0
2024-12-02 01:50:00+00:00,191.0249938964844,191.0249938964844,191.0500030517578,190.9129943847656,190.9579925537109,0
2024-12-02 01:55:00+00:00,191.0249938964844,191.0249938964844,191.05799865722656,190.9810028076172,191.01800537109372,0
2024-12-02 02:00:00+00:00,191.0169982910156,191.0169982910156,191.05599975585935,190.9600067138672,191.02999877929688,0
2024-12-02 02:05:00+00:00,191.01800537109372,191.01800537109372,191.0469970703125,190.95899963378903,191.00900268554688,0
